Review,Product,Review Text,Valence,Action,Object,Feature,Ability,Agent,Environment,Annotation,Valence Checked,Action Checked,Feature Checked,Ability Checked,Agent Checked,Environment Checked,Object Checked,_merge
http://linked.aub.edu.lb/actionrec/Review/0463f6b4bfe849bf44da77b698febca3 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",This is my first Apple laptop and I am loving it! The screen is great and the overall performance is amazing. The touchscreen feature is very convenient when I need to adjust something quickly. The battery life is also impressive. I would definitely recommend this laptop to anyone looking for a reliable and user-friendly device. ,negative ,AdjustAction ,WorkTasks ,TouchScreen ,AdjustingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/8d690200b2c32ff792d05acf92816e52 ,positive ,AdjustAction ,TouchScreen ,AdjustingAbility ,Person ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/4a54ba22ab794c594b252fe4e8c01d54 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ","I love my new MacBook Pro! It is so fast and sleek! The color is really bold but still a little toned down to blend in the room, but the hue still makes it clear I am proud owner! It even came with a keychain and a magnet to attach to the bottom of the screen! ",negative ,AttachAction ,WorkTasks ,Keychain ,AttachingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/1444141e55be1bd15102d5c7103a93e6 ,positive ,AttachAction ,Keychain ,AttachingAbility ,Person ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/b9884c96bc522233ca5237b086454c3d ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new computer! It is so easy to use and I am able to do all of my work in one place. The touch screen feature is great for browsing the internet and checking emails. ,positive ,BrowseAction ,Websites ,TouchScreen ,BrowsingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/e144c9d99a563c82bdf52eb7aa0fb9ab ,positive ,BrowseAction ,TouchScreen ,BrowsingAbility ,Person ,Universal ,Websites ,both
http://linked.aub.edu.lb/actionrec/Review/82dd2cbb36942f78c7e01f6b4845cbcc ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I am very pleased with this computer. I got it on sale for a good price and I am enjoying using it. 10 out of 10 would recommend! ,positive ,BuyAction ,WorkTasks ,Price ,BuyingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/09b50a345c531bb48adbcc11f345b7ac ,positive ,BuyAction ,Price ,BuyingAbility ,Person ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/a952d0085a38a5318878b0fb4deef4c9 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I really like my purchase. It is worth of the money I spent. High speed and very vibrant graphic display. So light and power. ,positive ,CarryAction ,WorkTasks ,Lightweight ,CarryingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/ca7c5eb2a12f2595d10705552efe29f0 ,positive ,CarryAction ,Lightweight ,CarryingAbility ,Person ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/dd461f0c80025cf622ff10e63751bf08 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ","I love my new ASUS laptop! It has everything I need and more! The battery life is amazing, the screen is gorgeous, and the overall performance is top-notch! ",positive ,ChargeAction ,BatteryLife ,BatteryLife ,ChargingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/43a62565b7820be913d5509c07dc98ef ,positive ,ChargeAction ,BatteryLife ,ChargingAbility ,Person ,Universal ,BatteryLife ,both
http://linked.aub.edu.lb/actionrec/Review/9a187cd046a88546f088dce5583bef04 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",The battery life on this laptop is amazing! I love the fact that I can easily switch between tablet mode and laptop mode. The screen is also very clear and bright. ,positive ,ChargeAction ,BatteryLife ,BatteryLife ,ChargingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/48263e4506cb03c72e42ebc24ca72f4a ,positive ,ChargeAction ,BatteryLife ,ChargingAbility ,Person ,Universal ,BatteryLife ,both
http://linked.aub.edu.lb/actionrec/Review/c16460e47498e4e48c52f7eef9feaa32 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new laptop! It is so fast and reliable. The battery life is amazing too. I would definitely recommend this product. ,positive ,ChargeAction ,BatteryLife ,BatteryLife ,ChargingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/b49e001753f3736f9b3505af62e7184f ,positive ,ChargeAction ,BatteryLife ,ChargingAbility ,Person ,Universal ,BatteryLife ,both
http://linked.aub.edu.lb/actionrec/Review/f2bcf208da7817f07c88ef7ec76362bc ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new laptop! It is so fast and reliable. The battery life is great too. I would definitely recommend it to anyone looking for a quality laptop. ,positive ,ChargeAction ,BatteryLife ,BatteryLife ,ChargingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/fa057b7098586f56945ae22010fb987a ,positive ,ChargeAction ,BatteryLife ,ChargingAbility ,Person ,Universal ,BatteryLife ,both
http://linked.aub.edu.lb/actionrec/Review/56295809b37fdc3cd95fe3ab393437e6 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new laptop! It is so fast and easy to use. I am a graphic designer and this laptop has everything I need. ,positive ,DesignAction ,WorkTasks ,GraphicsCardDriver ,DesigningAbility ,Designer ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/088cfa04f1659cd9d1e29531a46bb5a9 ,positive ,DesignAction ,GraphicsCardDriver ,DesigningAbility ,Designer ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/7652d7ef4dc1053750226afa49d41044 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new laptop! It is so fast and easy to use. I am a graphic designer and this laptop has everything I need to create beautiful images. ,positive ,DesignAction ,WorkTasks ,Speed ,DesigningAbility ,Designer ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/1ef20164bcea29fa3c5326d52eaf83d2 ,positive ,DesignAction ,Speed ,DesigningAbility ,Designer ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/2c65b6676cb925d80922e6f6e4c3ff3d ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new MacBook Pro! It is so fast and the screen is beautiful! I am a graphic designer and this laptop does everything I need it to do! 10 out of 10 recommend! ,positive ,DesignAction ,DesignObject ,GraphicsProcessingUnit ,DesigningAbility ,Designer ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/27b3eb5ffb4d0719271d78f7011282ad ,positive ,DesignAction ,GraphicsProcessingUnit ,DesigningAbility ,Designer ,Universal ,DesignObject ,both
http://linked.aub.edu.lb/actionrec/Review/af68b40a0117d0860bbd069c672fec08 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new MacBook Pro! It is so fast and the screen is gorgeous. I am a graphic designer and this laptop does everything I need it to do. 10/10 would recommend! ,positive ,DesignAction ,DesignObject ,Speed ,DesigningAbility ,Designer ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/5b9151623ca69579e954479fa98935b8 ,positive ,DesignAction ,Speed ,DesigningAbility ,Designer ,Universal ,DesignObject ,both
http://linked.aub.edu.lb/actionrec/Review/eec35276b8a9501b69ee9045843c8e8c ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new laptop! It is so fast and easy to use. I am a graphic designer and this laptop has everything I need. ,positive ,DesignAction ,WorkTasks ,Speed ,DesigningAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/e091a646d444247d270ef2c218928507 ,positive ,DesignAction ,Speed ,DesigningAbility ,Person ,Universal ,WorkTasks ,both
http://linked.aub.edu.lb/actionrec/Review/c44455f6e801173dc2ffb65c38a1cd25 ,"ASUS - ROG Zephyrus G14 14 OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 8945HS - 16GB LPDDR5X - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum White"" ",I love my new computer! It is so fast and I am able to do all of the things I need to do on it. The screen is also very clear and the battery life is great. ,positive ,DoAction ,WorkTasks ,Applications ,DoingAbility ,Person ,Universal ,http://linked.aub.edu.lb/actionrec/Annotation/29931b4c8ef3123a6e0a6d1c847a2016 ,positive ,DoAction ,Applications ,DoingAbility ,Person ,Universal ,WorkTasks ,both
