Review,Review Text,Description,Annotation,hallucination_groundtruth,Review Text Original,Description Original,Annotation Original,STS Score,Hallucination Confidence Score
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637699514627457,1.0
http://linked.aub.edu.lb/actionrec/Review/1e9fc244597ae80bb0a3977b1fef6a77 ,love new asus fast easy use also love color,easy use,easy use,0,I love my new ASUS! It is fast and easy to use! I also love the color! ,The person likes how easy it is to use this laptop ,easy to use! ,0.27791136503219604,0.72
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/642fbc16a4dbf64ec5f363a460baacb7 ,love new computer fast easy use glad decided buy it,easy use,easy use,0,I love my new computer! It is so fast and easy to use. I am glad I decided to buy it. ,The person likes how easy it is to use this laptop ,easy to use ,0.3868628144264221,0.61
http://linked.aub.edu.lb/actionrec/Review/d8dbe97d60c81177cd6ce9e9fc189448 ,glad got laptop great work personal use,heshe work,great work personal use,0,I am so glad I got this laptop. It is great for my work and personal use. ,The user likes that he/she can work with this laptop ,It is great for my work and personal use. ,0.177867591381073,0.82
http://linked.aub.edu.lb/actionrec/Review/855c33e3466e03067f566527d164cb6c,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/47cbd35c6aa8cc9ce8c20f3117d06842,,using tablet mode,i enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""I enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/65b8cedde84e562e76de6d5fc80f11a7,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/a1a1d3a012e98177555182e7aa0c32ad,,using tablet mode,i enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""I enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/c0602abff7d5e242c23a949711f004b1,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/197fa5369924229c92cbf02121107c20,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/1d82095ef8df447e202b7555a75b694b,,,this gift wife,1,  ," ""The person likes this laptop."" "," ""This was a gift for my wife"" ",0.9999997615814209,0.0
http://linked.aub.edu.lb/actionrec/Review/74430dd7beae71dbb9c2117bc270fc2f ,pleased laptop always purchased hp products reliable one exception screen beautiful touchscreen feature great needs,reliability,always purchased hp products reliable one exception,0,I am very pleased with this laptop. I have always purchased HP products because they are reliable and this one is no exception. The screen is beautiful and the touchscreen feature is great for my needs. ,The person likes the reliability of this laptop ,I have always purchased HP products because they are reliable and this one is no exception. ,0.2418537437915802,0.75
http://linked.aub.edu.lb/actionrec/Review/97975622833f9c927438c24b67897e3f,,happy speed ,i glad decided purchase it,1,  ," ""The user is happy with the speed of this laptop"" "," ""I am glad I decided to purchase it"" ",0.31775039434432983,0.68
